RegionID,SizeRank,RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020
2243,95,Davidson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,37,319894,323173,327070,330052,331763,333198,335288,337751,339880,342451,344276,347363,349936,352203,354690,357941,361662,364862,367119,369346,371654,373523,376084,378430,380667,382364,383378,384139,384246,384591,385746,387303,389004,390418,391011,391249,391536,392216,392653,393009,394119,395467,396518,397234,397920,399047,400675,402561,404664,406929,409788
3016,247,Rutherford County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,149,239999,242769,245466,247799,249120,250631,252599,254632,256548,258681,261227,263935,266229,268063,269487,271637,274610,277802,280148,281990,283932,285167,286528,288160,290320,292867,295141,295583,295903,296310,298903,301674,303617,304956,305089,305429,306427,307996,309471,311563,313008,314503,314534,314537,315002,316105,317867,319145,319535,319172,318938
3080,335,Williamson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,187,483340,486123,487861,489209,490811,493528,497478,500991,504473,507114,508843,510063,511378,513357,516903,520328,523624,526270,528995,532020,533970,535269,537213,539203,540622,541832,541767,543793,544513,546261,547005,548591,550065,552589,555997,559460,561220,561892,563255,564309,565804,566789,568308,569162,570695,571940,572417,572961,575131,578138,580991
1407,382,Sumner County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,165,292761,297337,302236,304635,306688,307848,309466,311158,314372,317180,319974,321707,322688,323842,325453,327695,330262,332762,335882,339048,340370,341265,341902,344199,347335,350918,353340,355593,357085,359769,360428,361993,363699,366996,369701,372061,373549,375080,375981,376593,377051,377562,379082,379713,380727,380690,381155,381160,381355,381129,381724
1496,522,Wilson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,189,297074,299217,300945,303018,304673,306555,308774,311308,313493,315734,317833,319962,321060,322212,323618,325800,327846,330044,332234,334577,336628,338513,340234,341960,345111,348429,351486,352757,354499,355484,356872,358181,360664,363334,365256,365513,365078,364751,364435,364252,363495,363813,363696,363487,362625,361722,361520,362570,363690,364659,365731
632,680,Maury County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,119,233035,232655,232669,233468,235406,237913,240084,242146,243663,245932,248285,251058,254106,256810,260233,262896,265427,267904,270239,272421,274512,275994,277867,280800,284676,288858,291333,293315,294560,295713,296275,297747,299876,302943,304796,303661,301953,299857,300306,300685,301487,302050,303205,303758,303971,303613,304021,306162,308281,310703,311976
2834,791,Robertson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,147,232894,234954,237481,239726,241997,244004,246384,248635,250623,252374,253873,254760,254866,254708,255725,257764,259885,261920,263917,266541,268945,270984,272878,276465,280641,284289,286188,287816,289563,291118,291762,292714,293981,295011,295415,294546,293337,292953,293573,294549,294931,295487,296718,297540,298328,299629,301564,303859,306414,308774,311122
1668,983,Dickson County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,43,186723,186844,186319,186124,186086,186431,187121,188822,190535,193097,195457,197841,199720,201328,203505,206755,209073,211176,212484,214328,216508,218590,221152,222487,223680,224935,227053,228783,231456,234017,236524,237546,239279,240164,243033,246070,250339,252503,253326,253791,254136,255176,256653,258887,260443,262614,263007,264026,264343,266493,269205
2185,1193,Cheatham County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,21,199130,200605,202484,202486,203583,204105,206464,207577,209759,212005,214986,219004,222859,227778,231102,234229,235054,236737,238512,243086,248104,251283,253033,253196,252858,250947,248992,249820,251661,254513,255951,256720,255719,256416,257444,259548,260226,263305,266500,268946,270238,270728,271865,272311,273649,274400,275293,275657,277200,277160,277205
1773,1614,Hickman County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,81,134596,134795,135668,136535,137586,138345,139018,139983,140677,142049,142746,142975,143218,144053,144868,145458,145750,146732,147376,148493,149139,149591,149810,151167,152593,153808,154167,155114,156248,156869,157753,158428,159393,159507,160235,160765,161580,161618,162093,162340,162835,163232,163572,163733,163929,164712,165245,165418,165304,165750,166249
623,1724,Macon County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,111,103104,103588,104431,105105,105864,106492,106810,107694,108447,108945,108857,109214,110417,111627,112999,113866,114984,115726,116826,117503,117898,118102,118810,119974,121346,122132,122927,123774,124731,125724,126556,126937,127685,128586,129506,130022,130349,130851,131123,131305,131931,132399,132861,133757,134521,135296,135923,136537,137008,137668,138484
724,1870,Smith County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,159,129354,130288,131205,133039,133810,134695,135371,136397,137481,138743,140585,142608,144703,146431,147526,148354,149855,151871,153692,155277,156182,156778,157237,157505,159040,160220,162520,163830,165006,165985,166964,168097,170035,172112,174049,175430,176530,177882,178497,179269,179948,180933,182062,183150,183954,184797,185707,187180,188208,189328,190615
912,2197,Cannon County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,15,174665,176335,177568,178788,180473,182397,184597,185012,184439,183948,184143,184216,184672,185488,186884,188254,190655,192850,194205,195492,196562,199025,200403,202176,203354,205327,207517,209458,210124,210921,211882,213510,215150,216622,218056,219126,220807,222264,223549,224494,225735,226850,228143,229203,230475,230988,231843,232656,233110,233121,232895
2856,2612,Trousdale County,TN,Nashville-Davidson--Murfreesboro--Franklin,47,169,109898,111274,112430,112778,114232,116671,119495,121764,122920,124374,125622,127684,129110,130471,131617,133568,134618,135602,136398,138256,140093,141550,142870,144495,146538,148743,151381,153373,156220,158289,160392,161113,162232,163733,165512,166317,167127,168079,168708,169044,168627,169096,169514,170564,171542,172345,173067,174190,175206,176037,176991
