date,Davidson,Rutherford,Williamson,Sumner,Wilson,Maury,Robertson,Dickson,Cheatham,Hickman,Macon,Smith,Cannon,Trousdale
1/31/2016,211371,184361,416394,206184,238538,163276,163044,140116,161064,108943,85169,110244,121750,108857
2/29/2016,213728,186469,418824,208916,240140,163977,164605,140563,162462,109491,85627,110802,122507,109544
3/31/2016,216597,188652,420320,211835,241812,164470,166356,140064,163846,109956,86102,111449,123319,110201
4/30/2016,218935,190795,421838,213784,243766,165492,168005,140151,163641,110582,86544,112022,124244,110767
5/31/2016,220451,192101,423624,215516,245687,166874,169622,139964,164400,111032,87013,112613,125174,111483
6/30/2016,221824,193400,426483,216803,247835,168437,171189,140127,164977,111472,87442,113097,126229,111847
7/31/2016,223716,194992,430142,218531,250138,169747,172878,140151,167056,111823,87826,113796,127093,112297
8/31/2016,225894,196658,433289,220067,252325,170954,174732,141411,168170,112255,88313,114503,127723,112676
9/30/2016,227866,198259,436424,222408,254186,172378,176325,142669,169876,112597,88827,115247,128166,113385
10/31/2016,230186,200033,439048,224324,256163,173786,178229,144433,171566,112981,89327,115949,128769,114184
11/30/2016,231935,202244,440943,226421,257880,175632,179886,146020,173749,113452,89807,116789,129342,115028
12/31/2016,234528,204583,442875,228010,259783,177575,181343,147541,176445,113877,90318,117820,130008,115981
1/31/2017,236459,206908,444753,229151,260812,180046,181548,148941,178650,114572,90929,118918,130693,116903
2/28/2017,238345,208777,447270,230141,261962,181795,182222,150081,181551,115175,91582,119948,131503,117775
3/31/2017,240293,210149,450605,231460,263184,183794,183103,152035,183659,115957,92406,120777,132371,118592
4/30/2017,242993,211927,453910,233133,265104,185646,184952,154173,186068,116528,93205,121626,133137,119369
5/31/2017,246009,214302,456763,235048,266831,188063,186505,155889,186859,117150,93903,122400,134064,120015
6/30/2017,248833,216882,459116,236714,268228,190848,188293,157255,188188,117871,94591,123273,134708,120742
7/31/2017,251120,218822,461539,238529,269544,193749,189754,158558,189560,118530,95358,124048,135526,121531
8/31/2017,253279,220430,464485,240829,271480,196324,191231,159578,193041,119227,96290,124779,136303,122570
9/30/2017,255417,222270,466370,242859,273503,198323,192442,161197,197009,119873,97056,125425,137368,123696
10/31/2017,257201,223742,467944,244837,275487,199838,193499,162797,199273,120715,97830,126004,138399,124821
11/30/2017,259509,225391,470108,246327,277174,201385,194914,164962,200423,121414,98406,126521,139552,125854
12/31/2017,261691,227392,472295,248265,279051,203401,197119,165897,200776,122251,99160,126950,140710,126620
1/31/2018,264012,229609,474308,250715,281790,205277,199975,166743,200998,122818,99979,127630,141784,127343
2/28/2018,265829,232099,476117,253312,284590,207646,202020,167651,199709,123464,100805,128529,142770,128237
3/31/2018,267196,234341,476934,254933,287038,209387,203703,169149,198151,124073,101526,129486,143613,129365
4/30/2018,268186,235632,478840,256361,288444,211240,205380,170478,198701,124786,102115,130432,144485,130625
5/31/2018,268799,236441,479622,257311,290102,212529,207363,172636,200385,125603,102910,131400,145189,131781
6/30/2018,269487,237227,481109,258618,291418,213381,209348,174700,202719,126445,103788,132445,146105,133077
7/31/2018,270602,239163,481737,258937,292790,213469,210553,176503,203966,127274,104628,133449,146909,134189
8/31/2018,271972,241427,483026,259524,294120,214355,211670,177292,204593,128060,105271,134414,147917,135410
9/30/2018,273317,243183,484410,261108,295892,215661,212516,178263,203642,128837,105939,135803,148771,136387
10/31/2018,274314,244615,486520,263331,297692,217798,213459,178657,203971,130077,106555,136998,149846,137368
11/30/2018,274707,245507,489330,265402,298838,219111,214080,180393,204778,131330,107308,138184,150773,138275
12/31/2018,274962,246006,491932,266746,299545,219416,213761,182559,206762,131678,107942,138893,151525,138914
1/31/2019,275388,246469,493128,267496,300101,219830,213038,185950,207547,131847,108570,139639,152097,139523
2/28/2019,276131,246801,493185,268481,300531,219663,212676,187774,210294,131777,108936,140226,152378,140124
3/31/2019,276637,247580,494120,269163,300676,220560,213026,188837,212785,132526,109258,140639,152942,140706
4/30/2019,277032,248787,495040,269779,300598,221135,213322,189547,214868,132879,109617,140941,153497,141156
5/31/2019,277925,250055,496711,270200,300509,222072,213371,190146,215623,133310,110158,141205,154380,141595
6/30/2019,278938,251258,497863,270918,301132,222951,213195,191130,215943,133523,110589,141672,155040,142088
7/31/2019,279760,251784,499486,272053,301660,224451,213833,192384,216763,133790,111047,142218,155751,142699
8/31/2019,280396,252157,500441,272584,301897,225550,214636,194329,217167,134053,111593,142885,156394,143142
9/30/2019,281116,252759,501871,272127,301799,226627,215926,195790,218428,134363,112248,143330,157076,143696
10/31/2019,282257,253725,503009,271136,301675,227352,217280,197611,219435,134189,112987,144044,157591,144262
11/30/2019,283746,254897,503503,270333,302249,228678,218827,198041,220413,134043,113769,144842,158181,144962
12/31/2019,285301,256130,504159,269817,303030,230600,220877,198799,220561,134507,114593,146100,158907,146020
1/31/2020,286846,257235,506044,269368,303688,232476,223343,198642,221662,135167,115418,147273,159832,147166
2/29/2020,288487,258337,508801,268484,304386,234820,226031,199793,221638,135961,116500,148567,161030,148279
3/31/2020,290590,259297,511257,267993,305457,236706,228537,201048,221993,136091,117704,150119,162088,149347
